Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
3V3,72.9,29.16,0,TPTP20R,TP20R,
BOOT_BUTTON,23.99,108.73,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,159.82,5.2,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,45.6,108.5,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,90.26,50.79,90,CPH3225A,CAPCP3225X100N,
C1_BAT,131.8,54.8,270,4.7 uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,132.4,43.5,90,4.7 uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,119.8,41.9,0,4.7 uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,158.73,5.18,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,124.6,49.5,90,4.7 uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,128.9,43.71,90,100uF TANT,RCL_CT3528,
C4,92.3,30,270,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,152.9,45.8,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,60.5,108.5,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5_USB,152.9,44.4,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C6,20.7,108.4,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C7,79.3,23.9,180,10 uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,87.5,50.4,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,9,101.9,90,100 nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,49.04,108.73,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,121.75,53.86,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,52.9,100.2,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,152.36,49.56,180,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,40.18,33.91,90,PGB1010603MR,DIOC1608X36N,
D11,43.18,33.93,90,PGB1010603MR,DIOC1608X36N,
D12,44.68,33.95,90,PGB1010603MR,DIOC1608X36N,
D2,119.57,45.01,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,78.83,32.82,0,MBR0530,SOD3716X135N,
D4,88.17,29.72,0,MBR0530,SOD3716X135N,
D5,88.21,26.02,0,MBR0530,SOD3716X135N,
D6,72.37,20.72,0,PGB1010603MR,DIOC1608X36N,
